OID_,AC_type,Year,Passage_lift,Service_lift,Operate_start_work,bld_opr_hrs,Operate_start_weekend,Operate_hours_weekend,retail,parking,office,hotel,food,GHI,wind_speed_10m,CDH,landuse,NDVI,NDBI,BH,podium,area_podium,highrise,area_upper,Dist_mtr,bld_eui2,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
1877,Central Air-Conditioning System,1993,3,1,8.5,9.5,8.5,5.5,1122.02063,0,534.4599609,180.4431915,330.1861877,1421.917969,2.5832288,2.757786739,11,-0.037037,-0.1001843,60.4799995,1,68742,1,1776,431.7980443,,NO,YES,NO,NO,YES,2018,6/24/2021,retro_after,23,0,23,yes,,,
1878,Individual Air-Conditioning System,1993,,,,,,,1744.776123,129.8639832,1137.975708,485.4828186,1208.79126,1421.187988,2.8955755,2.793602151,41,0.0299906,0.11165,10.3331165,0,0,0,0,63.82437923,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1879,Central Air-Conditioning System,1993,14,4,8.5,11,8.5,6,7678.659668,69.6064529,517.7001953,0,3027.333252,1423.379028,3.5354245,2.793602151,11,0.1652961,-0.0042226,40.875,1,6425,1,1337,338.1544566,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1880,Individual Air-Conditioning System,1993,,,,,,,316.8956909,0,540.6685791,0,270.6410522,1419.362061,2.4128978,2.757786739,31,0.0450855,0.0525718,65.6091614,1,2105,1,106,567.139838,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1881,Individual Air-Conditioning System,1993,2,0,,,,,599.3978271,245.5181427,895.9259644,154.2203064,2402.893799,1424.474976,3.1158793,2.793602151,1,0.0205527,0.1588164,46.9107132,1,1198,1,347,187.649834,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1882,Central Air-Conditioning System,1994,3,1,9,12,9,12,1940.021729,252.4098969,421.4938049,54.0995293,1784.418091,1421.187988,3.1632802,2.793602151,11,0.0396883,0.0939954,80.1290436,1,1832,1,562,153.9289303,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1883,Central Air-Conditioning System,1994,3,0,8,14,8,14,6758.301758,187.8001404,1561.160278,27.0122147,1468.520264,1418.265991,2.7116663,2.757786739,11,0.0634492,0.046051,51.2471695,1,4142,1,3447,517.9081976,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1884,Central Air-Conditioning System,1994,,,8,12,8,12,1940.021729,252.4098969,421.4938049,54.0995293,1784.418091,1421.187988,3.1632802,2.793602151,11,0.0396883,0.0939954,80.1290436,1,1832,1,562,153.9289303,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1885,Central Air-Conditioning System,1994,6,2,9,9,9,5,1414.046631,93.502655,0.2565176,128.7788391,889.0281372,1418.265991,2.9570251,2.757786739,11,-0.0086687,0.0686346,59.6890259,1,3749,1,1587,400.0406219,,NO,YES,NO,NO,NO,2018,12/12/2019,retro_after,28,0,91,yes,,,
1886,Central Air-Conditioning System,1994,2,1,8.75,9.25,8.75,5.25,1314.228027,45.7463303,1222.901245,552.2001953,3227.037354,1421.187988,2.9570251,2.757786739,11,0.0140653,-0.0320416,61.5523796,1,2625,1,215,249.3640872,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1887,Central Air-Conditioning System,1994,16,1,8.5,10.5,8.5,5.5,7498.919434,0,1834.013672,26.4400902,711.0264282,1421.917969,2.5832288,2.757786739,11,0.0095565,0.0898045,25.8565331,1,68742,0,0,424.7588993,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1888,Central Air-Conditioning System,1994,16,1,8.5,10.5,8.5,5.5,7498.919434,0,1834.013672,26.4400902,711.0264282,1421.917969,2.5832288,2.757786739,11,0.0095565,0.0898045,25.8565331,1,68742,0,0,424.7588993,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1889,Central Air-Conditioning System,1994,4,1,8.5,10,8.5,5,315.8665161,0,0,0,185.7677307,1415.708984,3.4746475,2.757786739,32,0.4086404,-0.1402449,17.599535,1,4827,0,0,39.13026938,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
