OID_,AC_type,Year,Passage_lift,Service_lift,Operate_start_work,bld_opr_hrs,Operate_start_weekend,Operate_hours_weekend,retail,parking,office,hotel,food,GHI,wind_speed_10m,CDH,landuse,NDVI,NDBI,BH,podium,area_podium,highrise,area_upper,Dist_mtr,bld_eui2,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
1,Central Air-Conditioning System,2000,4,1,8,11,8,6,6930.981445,163.6389771,359.0087585,0,1545.972046,1410.595947,2.4633908,2.148924732,11,0.0658297,0.0183813,76.463356,1,20757,1,1761,98.95658499,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
3,Individual Air-Conditioning System,1967,,,,,,,412.5098877,93.6783676,79.2928009,20.7061062,197.7656097,1434.337036,4.0661621,2.542894266,1,0.0499069,0.0662983,71.4453583,1,5477,1,572,428.2364693,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
4,Central Air-Conditioning System,1972,3,0,8,11,8,5,412.5098877,93.6783676,79.2928009,20.7061062,197.7656097,1434.337036,4.0661621,2.542894266,1,0.0499069,0.0662983,71.4453583,1,5477,1,572,428.2364693,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
5,,,,,,,,,154.8364105,77.1285248,0,0,625.3200684,1434.337036,3.2888982,2.507078853,1,0.0348903,-0.002453,88.218895,1,725,1,149,340.9623997,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
6,,,,,,,,,886.2542725,250.8768311,113.7350388,0,426.0014648,1437.259033,4.0661621,2.507078853,1,0.0352008,0.0901961,47.2424011,1,1329,1,1002,297.5022407,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
7,,,,,,,,,490.2987976,0,0,0,1630.507568,1434.337036,2.6225641,2.507078853,1,0.0871795,0.038791,110.3713303,1,245,1,165,358.4694743,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
8,Central Air-Conditioning System,1996,,,9,10,9,4,470.587738,18.7387085,93.5455399,0,1236.077393,1434.337036,4.0661621,2.542894266,41,0.0316742,0.02753,4.1584072,0,0,0,0,452.2198651,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
9,Individual Air-Conditioning System,,,,,,,,980.9956665,75.3121033,84.7542801,0,336.317688,1437.259033,4.0661621,2.507078853,1,-0.0138312,0.0997475,80.3424988,1,2710,1,333,319.1809511,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
11,Individual Air-Conditioning System,,,,,,,,911.7264404,19.5851097,238.9912872,86.6017685,272.740448,1434.337036,4.0661621,2.542894266,1,0.0316742,0.02753,9.9947634,1,5477,0,0,464.8911481,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
12,Individual Air-Conditioning System,,,,,,,,1123.643921,88.9090881,131.7993774,0,155.4886627,1442.371948,4.653935,2.507078853,1,0.0477299,0.0764495,78.5820999,1,11440,1,227,370.4194558,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
13,Individual Air-Conditioning System,,,,,,,,1074.888062,140.5500946,152.3417664,0,874.944397,1437.259033,4.0661621,2.507078853,1,0.0189567,-0.0218688,9.182394,1,1483,0,0,357.7967776,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
14,,,,,,,,,482.7485352,9.7129269,84.401741,0,1423.724487,1434.337036,4.0661621,2.507078853,1,0.0309967,0.1182708,73.4341202,1,297,1,145,462.6868072,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
17,Central Air-Conditioning System,1984,12,1,8.5,9.5,8.5,4.5,1243.164307,175.0349579,7273.230469,94.4758911,1036.590576,1437.259033,4.5090475,2.507078853,11,0.0164119,0.0282644,150.4527283,1,3058,1,1013,348.1534021,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
18,,,,,,,,,113.171875,33.2887192,102.722641,0,286.5722961,1429.95398,3.1627157,2.507078853,41,0.1213018,0.0676507,30.2620144,0,0,0,0,101.6665274,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
19,,,,,,,,,886.2542725,250.8768311,113.7350388,0,426.0014648,1437.259033,4.0661621,2.507078853,1,0.0352008,0.0901961,47.2424011,1,1329,1,1002,297.5022407,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
20,,,,,,,,,312.7463379,75.2623367,4.2309155,0,547.0452881,1442.371948,4.653935,2.507078853,41,-0.0765743,0.0453125,23.1900673,1,234,1,107,370.7498011,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
21,,,,,,,,,1256.733398,205.4256439,5466.557129,55.3290291,877.5084839,1437.259033,4.5090475,2.507078853,1,0.0283401,0.0472795,24.0611744,1,3058,1,290,338.6951172,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
23,Central Air-Conditioning System,1994,2,1,8,11,8,5,720.2034912,43.5591316,110.4712219,0,704.3322754,1436.162964,3.7722988,2.507078853,1,0.0078329,0.0631068,18.3691483,1,7343,0,0,364.3450018,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
24,Central Air-Conditioning System,1992,3,1,9,9,9,4,1407.497315,91.962883,295.0891724,0,878.7015991,1437.259033,4.5090475,2.507078853,11,0.0056491,0.0802568,91.2911224,1,656,1,636,281.3767553,,NO,YES,NO,NO,YES,2018,9/23/2021,retro_after,22,1,261,yes,,,
25,,,,,,,,,2674.44458,118.8171768,1454.873779,0,1534.977417,1474.880005,3.1064808,2.471263441,1,0.0415697,-0.0044901,101.7638397,1,1746,1,277,3636.259675,,NO,YES,NO,NO,NO,2015,9/13/2017,retro_after,28,0,168,yes,yes,,
26,Central Air-Conditioning System,1991,6,3,,,,,281.6315002,80.5165405,1433.846802,0,343.1013184,1475.244995,4.8533645,2.328001792,21,0.1056953,0.1338436,119.8865738,1,6562,1,2588,3923.117931,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
28,,,,,,,,,179.911026,0,187.7784729,0,263.396637,1475.609985,2.947607,2.435448029,11,0.0702563,0.0119169,45.5145836,1,354,1,100,3637.078054,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
29,,1991,,,,,,,281.6315002,80.5165405,1433.846802,0,343.1013184,1475.244995,4.8533645,2.328001792,21,0.1056953,0.1338436,119.8865738,1,6562,1,2588,3923.117931,,NO,YES,NO,NO,NO,2012 (rev.1),4/23/2016,retro_after,23,0,46,yes,,,
30,,,,,,,,,8540.916992,85.1163635,2214.646729,0,484.8515015,1472.322998,5.0118804,2.29218638,11,0.0706401,0.0296843,115.6155548,1,10504,1,2439,4625.88411,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
34,,,,,,,,,971.2375488,0,152.7228394,0,1454.064819,1475.609985,2.947607,2.435448029,1,0.0545136,-0.0173293,26.1648827,1,1261,1,115,3602.391075,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
35,,,,,,,,,844.4486694,0,498.7958984,0,219.1338348,1474.880005,2.3899462,2.507078853,11,0.073185,-0.0313135,66.5013885,1,1192,1,220,3438.302164,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
39,,,,,,,,,90.7700958,0,69.2771988,0,0,1475.609985,2.3899462,2.507078853,41,0.0432235,0.0471368,4.2933764,0,0,0,0,3461.079827,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
40,,1963,,,,,,,854.1741333,0,706.4093628,0,361.783905,1474.880005,2.3899462,2.507078853,1,0.0760514,0.0360463,94.4559402,1,1192,1,214,3442.01942,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
41,Individual Air-Conditioning System,1997,2,0,,,,,987.9021606,0,715.5696411,0,348.6315308,1474.880005,2.3899462,2.507078853,11,0.11413,0.0125803,98.5616608,1,1192,1,175,3435.376775,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
42,Individual Air-Conditioning System,1986,,,,,,,152.722641,91.6247406,224.2986908,0,62.3682823,1474.880005,2.6713684,2.399632617,41,0.1727424,0.0899095,7.8786864,0,0,0,0,3752.053983,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
43,Central Air-Conditioning System,,,,,,,,93.6921768,0,189.2821198,0,0,1474.880005,2.6713684,2.399632617,1,0.0485187,0.0538551,51.0094986,1,485,1,131,3744.287054,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
44,Individual Air-Conditioning System,,,,,,,,0,0,0,0,0,1486.932983,5.0118804,2.29218638,54,0.0222137,-0.0212614,9.0591993,1,74,1,104,4693.651133,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
46,Central Air-Conditioning System,1980,8,1,8,10,8,5,1679.713501,0,3303.776611,0,1771.35791,1402.194946,2.4870532,2.578709678,11,0.0371389,-0.0011951,124.86129,1,4211,0,0,51.63099876,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
47,Central Air-Conditioning System,1980,12,1,8,10,8,5,1679.713501,0,3303.776611,0,1771.35791,1402.194946,2.4870532,2.578709678,11,0.0371389,-0.0011951,124.86129,1,4211,0,0,51.63099876,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
48,Central Air-Conditioning System,1981,15,1,7.5,12,7.5,6,1443.101563,0,154.9390259,0,191.989624,1402.194946,2.4870532,2.578709678,11,0.0426975,0.1322806,140.3921814,0,0,1,1807,90.89425413,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
49,Central Air-Conditioning System,1983,10,1,8,11,8,6,279.8697205,89.9676437,830.2303467,0,1317.676392,1406.578003,2.4870532,2.578709678,11,0.0044032,0.1247391,174.3583374,1,2533,1,887,163.5279424,,NO,YES,NO,NO,NO,2018,10/30/2020,retro_after,48,2,110,yes,,,
50,Central Air-Conditioning System,1987,12,1,8,11,8,6,712.4249268,95.4859238,8963.802734,0,644.532959,1406.578003,2.1537433,2.542894266,11,0.0483006,0.0261159,8.7385712,0,0,0,0,216.4925593,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
51,Central Air-Conditioning System,1987,12,1,8,10,8,5,712.4249268,95.4859238,8963.802734,0,644.532959,1406.578003,2.1537433,2.542894266,11,0.0483006,0.0261159,8.7385712,0,0,0,0,216.4925593,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
52,Central Air-Conditioning System,1988,20,2,8,11,8,6,2184.567627,0.1090301,469.1680908,347.9317322,1780.737061,1402.194946,1.5328889,2.578709678,11,0.0788066,0.0162967,164.5055695,1,14966,1,1221,201.7819117,,NO,YES,NO,YES,NO,2018,9/27/2021,retro_after,46,0,73,yes,,,
53,Central Air-Conditioning System,1990,19,2,8,11,8,6,2184.567627,0.1090301,469.1680908,347.9317322,1780.737061,1402.194946,1.5328889,2.578709678,11,0.0788066,0.0162967,164.5055695,1,14966,1,1221,201.7819117,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
54,Central Air-Conditioning System,1997,13,1,8,11,8,6,95.0806808,87.7867279,1045.731934,0,1377.368897,1414.248047,3.0097959,2.650340502,11,0.0252232,-0.0295784,121.2689514,1,5346,1,1960,238.647171,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
55,Individual Air-Conditioning System,,,,,,,,1432.989136,0,1161.518555,0,2234.071045,1404.385986,3.3629959,2.686155914,11,0.002,0.0514358,94.3328552,1,519,1,233,312.6120395,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
56,Individual Air-Conditioning System,,,,,,,,2213.965088,0,524.5977173,78.3526154,1557.123901,1400.003052,3.204277,2.686155914,11,0.0166497,0.0868497,19.8132248,1,1609,1,311,87.04676646,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
57,Individual Air-Conditioning System,,,,,,,,1515.802002,0,181.7472687,59.5487328,2057.874268,1402.925049,3.204277,2.686155914,1,0.0433023,0.0535976,22.7310753,1,143,1,70,161.9592327,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
58,Individual Air-Conditioning System,,,,,,,,2324.432861,60.5150833,479.8018494,0,1828.421997,1404.385986,3.3629959,2.686155914,1,-0.0140629,0.1628311,75.4404678,1,297,1,129,320.4079439,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
59,Individual Air-Conditioning System,,,,,,,,1978.213013,0,1507.158569,273.0967407,3633.098633,1406.942993,2.6904621,2.650340502,11,0.015931,-0.128645,109.0284424,1,531,1,527,291.1588227,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
60,Individual Air-Conditioning System,,,,,,,,2778.456787,0,311.6001892,90.9533768,3038.335205,1406.942993,3.204277,2.686155914,11,0.0108452,0.0142232,115.8246689,1,867,1,532,169.5293246,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
61,Individual Air-Conditioning System,,,,,,,,803.465271,70.8560791,94.2949524,0,461.1978455,1402.925049,3.2353866,2.686155914,1,0.053033,0.2060978,61.1551628,1,485,1,600,272.8385527,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
62,Individual Air-Conditioning System,,,,,,,,1019.170837,51.9895859,191.4439545,232.1570129,1628.526001,1400.734009,1.5035841,2.721971327,11,0.0667061,-0.0081074,80.012207,1,559,1,72,549.4674752,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
63,Individual Air-Conditioning System,,2,0,,,,,12149.5918,70.8448181,1208.949219,0,4119.526856,1404.020996,3.204277,2.686155914,11,-0.0184379,-0.0026945,89.4876404,1,7081,1,150,72.45380081,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
64,Individual Air-Conditioning System,1999,2,0,,,,,1166.157349,0,125.3318024,0,1264.919922,1407.307983,2.5736854,2.650340502,1,0.0150267,0.03989,75.7249756,0,0,1,71,342.8009776,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
65,Central Air-Conditioning System,,,,,,,,1431.983154,144.5365143,72.5539703,0,1491.289917,1411.69104,2.2591228,2.650340502,41,0.0128764,0.0426908,3.8083713,0,0,0,0,313.9891478,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
66,Central Air-Conditioning System,1993,,,8,16,,,1920.457031,0,1091.525513,0,2595.427246,1404.385986,3.3629959,2.686155914,1,0.0155979,0.0652976,81.5271912,1,884,1,250,219.7512785,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
67,Central Air-Conditioning System,,,,10,12,,,1614.489868,0,169.6126404,87.3495483,2265.384033,1402.925049,3.204277,2.686155914,11,0.0012124,0.0264565,110.5136566,1,1472,1,1187,186.0003673,,NO,YES,YES,NO,YES,2018,1/31/2020,retro_after,22,0,25,yes,,,
68,Individual Air-Conditioning System,,,,,,,,879.0805054,81.719696,582.9969482,0,471.4672241,1406.942993,2.6142955,2.686155914,11,0.0268558,0.0141085,72.9306488,1,1860,1,163,235.1661777,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
69,Individual Air-Conditioning System,1984,2,0,,,,,1041.755859,0,1091.942383,0,1219.916626,1402.925049,3.3629959,2.686155914,11,0.0128149,0.0667752,75.4243851,1,1592,1,119,184.9975401,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
70,Central Air-Conditioning System,1955,,,,,,,1609.625244,0,58.5506592,92.9305878,1331.342651,1402.925049,3.3629959,2.686155914,1,-0.0331453,-0.0112322,27.6910915,1,1307,1,98,170.9442302,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
71,Individual Air-Conditioning System,1975,3,0,,,,,13894.38672,80.6457672,4700.566406,308.6033325,2565.467773,1404.385986,3.3629959,2.721971327,11,0.019486,0.0854971,49.5236816,1,1232,1,586,346.9041876,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
72,Central Air-Conditioning System,1975,8,1,8,11,8,6,12042.93848,278.67099,2373.257813,209.6711578,1218.126221,1402.560059,3.3629959,2.721971327,41,0.0208817,0.0954257,18.961792,1,6168,1,1837,281.4238058,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
73,Central Air-Conditioning System,1976,2,1,8,11,8,5.5,2047.104126,0,355.8753967,73.8593979,4826.71875,1406.942993,3.204277,2.686155914,11,-0.0424597,0.1053352,80.961235,1,1421,1,409,115.4454309,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
74,Central Air-Conditioning System,1976,12,1,8,11,8,5,8952.738281,157.5834961,2589.721191,247.8388977,4718.253906,1404.020996,2.6608007,2.721971327,11,0.0378736,-0.0144652,24.9841824,1,3053,1,3291,217.7176845,,NO,YES,NO,NO,NO,2015,4/9/2018,retro_after,38,0,1,yes,,,
75,Central Air-Conditioning System,1976,6,1,8,11,8,5.5,245.921814,0,1413.934204,83.8419571,264.9042358,1407.307983,2.5736854,2.650340502,11,0.0312546,0.0058546,74.0193024,1,308,1,205,556.2332623,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
76,Central Air-Conditioning System,1977,3,0,8,10,8,6,2058.869873,120.0549164,1623.871216,92.1803665,1704.372437,1402.925049,3.2353866,2.686155914,11,0.0204449,0.0425801,74.0556717,1,2619,1,479,284.8857316,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
77,Central Air-Conditioning System,1977,8,1,8,11,8,5.5,0,0,0,0,0,1402.925049,2.6904621,2.686155914,11,0.0353168,0.0253557,82.8104019,1,3423,1,1557,274.9885486,,NO,YES,NO,YES,YES,2018,7/8/2020,retro_after,25,0,539,yes,,,
78,Central Air-Conditioning System,1978,2,0,9,9,9,4,817.7914429,0,117.3420029,0,878.861084,1407.307983,2.5736854,2.650340502,11,0.0650934,0.0425183,12.4007702,0,0,1,274,392.5489927,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
79,Central Air-Conditioning System,1979,12,1,8,11,8,6,15636.05078,207.2465363,5076.437988,84.1485977,3325.657959,1402.560059,3.3629959,2.721971327,11,0.0302373,-0.00254,142.2510376,1,6168,1,2261,359.729422,,NO,YES,NO,NO,YES,2018,7/16/2020,retro_after,37,0,430,yes,,,
80,Individual Air-Conditioning System,1980,1,0,,,,,2047.960205,0,1131.938721,0,3069.970215,1404.385986,3.3629959,2.686155914,41,0.0441011,0.074337,4.1410446,0,0,0,0,221.5568193,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
81,Individual Air-Conditioning System,1980,1,0,,,,,2623.043701,87.6532745,556.6505737,0,1914.690186,1404.385986,3.3629959,2.686155914,11,0.016744,0.0325345,19.9090633,1,4530,0,0,343.2231258,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
82,Individual Air-Conditioning System,1980,2,0,,,,,1431.968262,0,93.4199448,0,1691.624023,1406.942993,2.6142955,2.686155914,1,0.0188749,0.0278587,57.7811775,1,456,1,533,255.1619173,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
83,Central Air-Conditioning System,1980,2,,8,11,8,6,2137.202881,0,214.0552979,0,1715.892944,1407.307983,2.6904621,2.650340502,11,0.0623779,0.0856822,82.1781693,1,2277,1,193,348.6131172,,NO,YES,NO,NO,NO,2018,4/22/2020,retro_after,23,0,85,yes,yes,,
84,Central Air-Conditioning System,1980,2,0,7,12,7,6,1930.460083,0,230.333847,0,1546.349243,1407.307983,2.6904621,2.650340502,11,0.0235406,0.0891242,94.4637604,1,2277,0,0,344.4936858,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
85,Central Air-Conditioning System,1980,3,1,8.5,10,8.5,10,1811.089966,0,558.079834,0,646.5449219,1402.925049,3.3629959,2.686155914,41,-0.0050468,0.0879048,20.6659164,1,1592,1,822,147.9938886,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
86,Individual Air-Conditioning System,1981,,,,,,,1004.73346,79.1584702,0,129.660675,1080.485474,1406.942993,2.5736854,2.650340502,11,0.0147536,0.0768027,51.8878174,1,616,1,90,362.2366175,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
87,Central Air-Conditioning System,1981,1,0,8.5,11,8.5,11,5936.915039,0.2681087,790.3253174,0,4798.573731,1402.925049,3.3629959,2.686155914,11,0.0850202,0.0042869,52.5123444,1,4228,1,90,124.9020963,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
88,Individual Air-Conditioning System,1981,,,,,,,1126.811035,68.7204895,433.0682678,51.1339684,3517.442383,1400.003052,3.204277,2.686155914,11,0.0446972,0.0634632,18.4662266,1,576,1,155,152.3003409,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
89,Individual Air-Conditioning System,1982,2,0,,,,,0,0,0,0,0,1407.307983,2.6904621,2.650340502,11,0.0235406,0.0891242,104.126236,1,2277,1,346,339.505484,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
90,Central Air-Conditioning System,1983,10,1,8.5,10,8.5,5.5,486.6820374,210.5740051,0,0,944.56073,1394.524048,3.8718221,2.61452509,41,-0.0063814,0.2097841,4.0263414,0,0,0,0,311.1989486,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
91,Central Air-Conditioning System,1983,1,1,8.5,10,8.5,10,9960.5,14.0593729,3663.21167,194.1976318,2326.51709,1402.560059,1.5035841,2.721971327,11,0.031152,-0.001491,16.8585911,1,1232,1,461,378.1840262,,NO,NO,YES,YES,NO,2015,1/3/2018,retro_after,23,0,107,yes,yes,,
92,Individual Air-Conditioning System,1983,,,,,,,605.5630493,0,913.0632324,0,922.696167,1400.734009,1.5035841,2.721971327,11,0.0504852,0.0604948,19.6780453,0,0,1,205,517.178389,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
93,Central Air-Conditioning System,1984,4,0,8,11,8,11,2568.435303,0,1621.376465,0,3651.453613,1404.385986,3.3629959,2.686155914,11,0.0216527,0.0910163,16.9183731,1,1438,1,438,289.0922238,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
94,Individual Air-Conditioning System,1984,2,0,,,,,2568.435303,0,1621.376465,0,3651.453613,1404.385986,3.3629959,2.686155914,11,0.0216527,0.0910163,74.8168488,1,1438,1,179,271.4701425,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
95,Individual Air-Conditioning System,1984,2,0,,,,,2213.965088,0,524.5977173,78.3526154,1557.123901,1400.003052,3.204277,2.686155914,11,0.0166497,0.0868497,19.8132248,1,1609,1,311,87.04676646,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
96,Individual Air-Conditioning System,1984,2,,,,,,752.2454224,35.7357597,122.0422211,188.8677826,1385.726807,1400.734009,1.5035841,2.721971327,41,0.0667061,-0.0081074,72.0055542,0,0,0,0,568.8923922,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
97,Central Air-Conditioning System,1985,,,8.5,10,8.5,6,2156.625244,133.7450409,1464.75,83.4653244,2338.115479,1402.925049,3.2353866,2.686155914,11,0.0349432,0.0523741,73.4028854,1,2619,1,178,310.9652913,,NO,NO,YES,YES,NO,2015,4/19/2018,retro_after,19,0,148,yes,yes,,
98,Central Air-Conditioning System,1985,,,8,10,8,5,5496.845215,0,1088.236572,123.4235992,2924.162842,1404.020996,3.3629959,2.686155914,11,0.0267501,0.0617605,87.616806,1,4616,0,0,196.5735322,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
99,Individual Air-Conditioning System,1985,,,,,,,1190.725098,74.4788895,427.4532166,36.0830803,3968.919678,1400.003052,3.204277,2.686155914,11,0.0446972,0.0634632,18.8028851,1,576,1,149,143.753434,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
100,Central Air-Conditioning System,1985,6,1,8.5,9.5,8.5,5,21984.0625,32.0171432,675.0194092,5.911624,2909.068848,1404.020996,3.3629959,2.686155914,11,0.0334531,0.001356,87.1054153,1,7081,0,0,143.5927625,,NO,YES,NO,NO,NO,2018,9/10/2019,retro_after,7,0,0,yes,,,
101,Individual Air-Conditioning System,1985,,,0,24,0,24,2736.981201,0,1892.525024,4.621501,6806.766113,1404.020996,2.6608007,2.686155914,11,0.0091015,0.0408163,68.2917252,1,1352,1,149,87.43644876,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
102,Central Air-Conditioning System,1987,3,1,8.5,12,8.5,12,4886.22168,0.0104655,744.0474243,0,4379.325684,1402.925049,3.3629959,2.686155914,11,-0.0172078,0.1869275,46.9054298,1,4228,0,0,118.8061448,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
103,Central Air-Conditioning System,1988,3,0,8,11,8,5.5,1186.565186,0,0,0,1461.922363,1404.385986,3.2353866,2.686155914,1,0.0174897,0.1570424,46.2492676,1,3720,1,781,422.8833244,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
104,Individual Air-Conditioning System,1988,2,0,,,,,879.0805054,81.719696,582.9969482,0,471.4672241,1406.942993,2.6142955,2.686155914,11,0.0268558,0.0141085,72.9306488,1,1860,1,163,235.1661777,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
105,Central Air-Conditioning System,1989,4,1,8,11,8,6,115.5528488,202.4242706,28.0005016,0,43.6788712,1402.925049,2.6904621,2.686155914,11,0.0390199,-0.021842,118.5380936,1,2773,1,712,274.5350252,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
106,Central Air-Conditioning System,1989,3,1,9,9,9,4,4381.088379,0,1928.401245,0,3457.041992,1404.020996,3.204277,2.686155914,11,0.0257847,0.0665646,105.1925583,1,7081,0,0,44.76869437,,NO,YES,NO,NO,NO,2018,3/11/2021,retro_after,25,0,300,yes,,,
107,Central Air-Conditioning System,1989,5,1,8,11,8,5.5,786.1586914,64.1518784,130.2935028,0,575.2878418,1404.385986,3.2353866,2.686155914,11,0.0539434,-0.0014802,92.8137589,1,605,1,538,322.4587978,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
108,Individual Air-Conditioning System,1991,2,0,,,,,3628.386475,63.0009956,961.0604248,26.6826496,2062.84668,1404.020996,2.6608007,2.721971327,1,-0.0062342,0.0327448,14.9872208,1,1695,0,0,124.2077166,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
109,Individual Air-Conditioning System,1991,1,0,,,,,1666.179932,0,627.7657471,0,1101.341187,1402.925049,3.204277,2.686155914,11,0.0405834,0.0126354,67.8659439,1,645,1,122,91.2487515,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
110,Individual Air-Conditioning System,1991,2,0,,,,,2341.023926,0,1586.869263,0,3624.270996,1404.385986,3.3629959,2.686155914,11,0.0198928,0.0420796,93.7071991,1,519,1,316,294.233906,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
111,Central Air-Conditioning System,1991,3,0,8,10,8,5,6859.641113,26.129425,2154.39502,0,4459.492188,1404.020996,3.204277,2.686155914,41,-0.0127806,-0.009894,23.8162079,1,7081,1,65,57.17670584,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
112,Central Air-Conditioning System,1991,2,1,8.5,11,8.5,5,320.3796082,9.8712845,188.3544922,51.2206802,1058.405762,1400.003052,2.6142955,2.686155914,11,0.0217707,0.0143124,88.5370407,1,1358,1,456,255.9923375,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
113,Central Air-Conditioning System,1992,5,1,8,11,8,6,961.5732422,94.2398071,158.7591705,0,645.8419189,1404.385986,3.2353866,2.686155914,11,0.0546101,0.0847906,116.3047333,1,1147,1,746,361.3100046,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
