log10_footprint,log10_hotel,log10_carparking,log10_food,log10_office,log10_retail,wind_speed_10m,GHI,retro_before_audit,retro_after_audit,log10_metro_dist,commercial_land_use,individual_AC,central_AC,operate_start_before8,operate_start_8_9,operate_start_9_10,operate_start_after10,NDVI,BH
3.246005904076029,0.0,2.2165326591603063,3.189482466008589,2.5563130666615907,3.8408573915570416,2.4633908,1410.595947,0,0,1.9954446992969967,1,0,1,0,1,0,0,0.0658297,76.463356
2.75815462196739,1.3365819235225203,1.9762507614198688,2.2983412452045875,1.9046766079242137,2.6164858987064807,4.0661621,1434.337036,0,0,2.6316836497433735,0,1,0,0,0,0,0,0.0499069,71.4453583
2.75815462196739,1.3365819235225203,1.9762507614198688,2.2983412452045875,1.9046766079242137,2.6164858987064807,4.0661621,1434.337036,0,0,2.6316836497433735,0,0,1,0,1,0,0,0.0499069,71.4453583
2.1760912590556813,0.0,1.8928096241653531,2.7967963274856724,0.0,2.1926689362106417,3.2888982,1434.337036,0,0,2.5327064889538926,0,0,0,0,0,0,0,0.0348903,88.218895
3.0013009330204183,0.0,2.401188220740709,2.6304293648457873,2.05969606684356,2.948048099334036,4.0661621,1437.259033,0,0,2.473490241056101,0,0,0,0,0,0,0,0.0352008,47.2424011
2.220108088040055,0.0,0.0,3.2125890926706395,0.0,2.691345701247942,2.6225641,1434.337036,0,0,2.554452178950791,0,0,0,0,0,0,0,0.0871795,110.3713303
0.0,0.0,1.2953187334565923,3.092396870446771,1.9756410462164256,2.67356250425136,4.0661621,1434.337036,0,0,2.6553496361027062,0,0,1,0,0,1,0,0.0316742,4.1584072
2.5237464668115646,0.0,1.882593423663159,2.5280391149792587,1.9332558054194513,2.992109571270361,4.0661621,1437.259033,0,0,2.5040369645113514,0,1,0,0,0,0,0,-0.0138312,80.3424988
3.7386220279179425,1.9425128737712603,1.3135531857361145,2.437338973680986,2.3801954750880725,2.9603406316120933,4.0661621,1434.337036,0,0,2.667351276946856,0,1,0,0,0,0,0,0.0316742,9.9947634
2.357934847000454,0.0,1.9538035928699962,2.194482879229543,2.123196038944813,3.0510150401154714,4.653935,1442.371948,0,0,2.568693789361615,0,1,0,0,0,0,0,0.0477299,78.5820999
3.171433900943008,0.0,2.1509101639465773,2.9424765389962837,2.1856604617463167,3.0317670886309376,4.0661621,1437.259033,0,0,2.5536364248930634,0,1,0,0,0,0,0,0.0189567,9.182394
2.164352855784437,0.0,1.0299081415002405,3.1537308886644158,1.9314667243071075,2.6846196629767967,4.0661621,1434.337036,0,0,2.665287116439761,0,0,0,0,0,0,0,0.0309967,73.4341202
3.0060379549973173,1.979893720441604,2.2455989207431735,3.016026018579316,3.8617870566622368,3.094877738000628,4.5090475,1437.259033,0,0,2.5417706433893468,1,0,1,0,1,0,0,0.0164119,150.4527283
0.0,0.0,1.5351512630455042,2.4587470450264703,2.0158735663032954,2.05755913336133,3.1627157,1429.95398,0,0,2.0071779897144717,0,0,0,0,0,0,0,0.1213018,30.2620144
3.0013009330204183,0.0,2.401188220740709,2.6304293648457873,2.05969606684356,2.948048099334036,4.0661621,1437.259033,0,0,2.473490241056101,0,0,0,0,0,0,0,0.0352008,47.2424011
2.03342375548695,0.0,1.8823101080497497,2.7388164481910273,0.7185777045083904,2.496578665360476,4.653935,1442.371948,0,0,2.5690809267100065,0,0,0,0,0,0,0,-0.0765743,23.1900673
2.4638929889859074,1.7507322657010647,2.314763647957453,2.943745959904352,3.737793329556924,3.0995885933763785,4.5090475,1437.259033,0,0,2.5298089356809994,0,0,0,0,0,0,0,0.0283401,24.0611744
3.865932668193186,0.0,1.6489367184088712,2.848393757242323,2.047162761705316,2.8580578203870606,3.7722988,1436.162964,0,0,2.5615128161125793,0,0,1,0,1,0,0,0.0078329,18.3691483
2.8041394323353503,0.0,1.9683095837594256,2.9443353814213618,2.4714225260893636,3.1487560234326937,4.5090475,1437.259033,0,1,2.4492882172568264,1,0,1,0,0,1,0,0.0056491,91.2911224
2.444044795918076,0.0,2.078519082283004,3.186384830445243,3.1631237242490027,3.427395959291037,3.1064808,1474.880005,0,1,3.5606548897844448,0,0,0,0,0,0,0,0.0415697,101.7638397
3.413132050434872,0.0,1.9112457402618521,2.5366863365928802,3.1568055341029275,2.451220563742724,4.8533645,1475.244995,0,0,3.5936313634475923,0,0,1,0,0,0,0,0.1056953,119.8865738
2.0043213737826426,0.0,0.0,2.4222559268286132,2.2759524685967047,2.2574650366499243,2.947607,1475.609985,0,0,3.560752621389534,1,0,0,0,0,0,0,0.0702563,45.5145836
3.413132050434872,0.0,1.9112457402618521,2.5366863365928802,3.1568055341029275,2.451220563742724,4.8533645,1475.244995,0,1,3.5936313634475923,0,0,0,0,0,0,0,0.1056953,119.8865738
3.387389826338729,0.0,1.9350856822611993,2.686503549233517,3.345500516039927,3.9315553467569826,5.0118804,1472.322998,0,0,3.665194748404779,1,0,0,0,0,0,0,0.0706401,115.6155548
2.0644579892269186,0.0,0.0,3.1628823403370463,2.186738397678619,2.987772389955698,2.947607,1475.609985,0,0,3.5565908579824543,0,0,0,0,0,0,0,0.0545136,26.1648827
2.3443922736851106,0.0,0.0,2.3426867991985834,2.698792687745701,2.9270872449638543,2.3899462,1474.880005,0,0,3.536344040585874,1,0,0,0,0,0,0,0.073185,66.5013885
0.0,0.0,0.0,0.0,1.846814442493893,1.962701185070252,2.3899462,1475.609985,0,0,3.5392116160597458,0,0,0,0,0,0,0,0.0432235,4.2933764
