ID,bld_eui2,log10_eui,BH,FoC_v,retro,BS,Basement,Year,highrise,area_upper,podium,area_podium,CDH,GHI,wind_speed_10m,landuse,food,retail,parking,office,hotel,Dist_mtr,CLABEL,AC_type,Passage_lift,Service_lift,Operate_start_work,Operate_hours_work,Operate_start_weekend,Operate_hours_weekend,Operate_hours,BH,bld_submis
26,7.84,0.894316063,25.7144527,,NONE,7,1,1993,1,253,1,234,2.6145301,1414.609985,2.3836701,1,1214.719971,1528.109985,0,67.2032013,0,1080.329992,樂富站,,,,,,,,,25.7144527,2015
27,7.88,0.896526217,14.5394583,,NONE,17,0,1959,0,0,1,3315,2.7577901,1415.709961,2.8955801,1,415.8890076,1603.380005,180.6499939,0,1726.839966,92.44207129,尖沙咀站,,,,,,,,,14.5394583,2013
28,7.99,0.902546779,24.0030708,,NONE,26,0,1978,0,0,1,685,2.6145301,1400.369995,3.6013601,1,358.7820129,1335.76001,41.1186981,984.848999,0,149.0612289,炮台山站,,,,,,,,,24.0030708,2013
29,8.06,0.906335042,51.0771561,,NONE,13,0,1960,1,635,1,559,2.7936001,1421.550049,2.4129,1,1451,515.8859863,60.4919014,27.5282993,62.8562012,415.4354734,佐敦站,,,,,,,,,51.0771561,2014
30,8.13,0.910090546,15.1247396,,NONE,24,0,1979,0,0,1,1438,2.7577901,1429.589966,2.9174199,1,4165.459961,902.8969727,0,276.3120117,0,389.8988098,油麻地站,,,,,,,,,15.1247396,2014
31,8.23,0.915399835,51.422142,,NONE,7,0,1986,1,573,1,485,2.8294201,1413.52002,2.7958701,11,210.0829926,0,90.9141006,0,0,351.478763,油塘站,,,,,,,,,51.422142,2014
32,8.5,0.929418926,76.2418671,2012,retro_before,22,0,1972,1,951,1,2944,2.6145301,1402.930054,2.36008,1,768.7559814,834.0130005,149.0599976,493.9819946,0,714.385647,鑽石山站,,,,,,,,,76.2418671,2014
33,8.6,0.934498451,23.0321827,,NONE,2,0,1994,0,0,1,1752,2.7219701,1451.869995,2.13167,1,359.4070129,488.3420105,92.8266983,0,0,1834.594851,天水圍站,,,,,,,,,23.0321827,2016
34,8.75,0.942008053,17.9130039,,NONE,11,0,1986,1,3592,1,3344,2.6145301,1464.290039,3.3177299,2,68.0028,179.2559967,87.6041031,40.9398003,0,2494.73981,屯門站,,,,,,,,,17.9130039,2013
35,8.78,0.943494516,31.474493,2015,retro_after,22,0,1981,1,245,1,542,2.8294201,1399.640015,1.67827,1,0,555.4559937,111.8939972,92.7276001,0,390.551195,西灣河站,,,,,,,,,31.474493,2013
