bld_eui2,log10_eui,highrise,area_upper,podium,area_podium,BH,BS,Year,food,retail,parking,office,hotel,CDH,GHI,wind_speed_10m,ndvi,landuse,Dist_mtr,AC_type,Passage_lift,Service_lift,Operate_start_work,Operate_hours_work,Operate_hours,retro
8.23,0.915399835,1,573,1,485,51.422142,7,1986,210.0829926,0,90.9141006,0,0,2.8294201,1413.52002,2.7958701,0.0400575,11,351.478763,,,,,,,NONE
8.5,0.929418926,1,951,1,2944,76.2418671,22,1972,768.7559814,834.0130005,149.0599976,493.9819946,0,2.6145301,1402.930054,2.36008,0.0301439,1,714.385647,,,,,,,retro_before
8.6,0.934498451,0,0,1,1752,23.0321827,2,1994,359.4070129,488.3420105,92.8266983,0,0,2.7219701,1451.869995,2.13167,0.087712,1,1834.594851,,,,,,,NONE
8.75,0.942008053,1,3592,1,3344,17.9130039,11,1986,68.0028,179.2559967,87.6041031,40.9398003,0,2.6145301,1464.290039,3.3177299,0.0971034,2,2494.73981,,,,,,,NONE
8.78,0.943494516,1,245,1,542,31.474493,22,1981,0,555.4559937,111.8939972,92.7276001,0,2.8294201,1399.640015,1.67827,0.0437631,1,390.551195,,,,,,,retro_after
8.83,0.945960704,1,477,1,1746,42.6685905,11,1980,1142,1321.219971,176.9060059,212.6869965,0,2.6503401,1425.209961,1.54132,0.0594901,1,526.2455923,,,,,,,NONE
9.22,0.964730921,1,329,1,3589,48.3448715,13,1958,1815.880005,382.9079895,10.8153,0,46.5010986,2.7936001,1419.359985,2.4129,0.0620571,1,453.9602543,,,,,,,NONE
9.23,0.965201701,1,414,1,2408,19.1598663,23,1980,903.4329834,1907.829956,91.7241974,182.3739929,0,2.5070801,1424.839966,3.10741,-0.0014752,11,164.5818194,Individual Air-Conditioning System,2,0,,,,NONE
9.5,0.977723605,1,722,1,1284,55.1091652,17,1965,893.677002,943.8049927,0,12.0490999,0,2.6145301,1405.849976,3.6496201,0.0472998,1,295.7425474,,,,,,,retro_before
9.59,0.981818607,1,945,1,2847,44.0344505,17,1976,813.8389893,726.8950195,109.2809982,0,263.506012,2.7936001,1424.469971,2.3709099,0.0477132,11,76.79715958,,,,,,,NONE
9.76,0.989449818,1,84,1,1250,18.5509567,7,1976,550.8250122,1694.76001,24.9703007,263.4230042,0,2.5070801,1418.630005,3.10741,0.0397785,11,196.8440501,Individual Air-Conditioning System,,,,,,NONE
10.04,1.001733713,1,71,1,708,24.1877995,30,2001,718.3330078,302.1719971,80.0958023,94.0307999,0,2.5787101,1422.650024,1.33883,0.0695272,1,369.2605381,,,,,,,NONE
10.14,1.006037955,1,506,1,1986,80.228035,21,1984,1739.609985,217.8500061,74.4873962,223.6730042,0,2.5428901,1384.660034,2.3825901,0.0979034,1,502.4973987,,,,,,,retro_after
10.44,1.018700499,1,131,1,2408,22.5474911,5,1979,2431.370117,738.6099854,0,537.7189941,36.7015991,2.5070801,1424.839966,3.10741,0.0785925,11,133.8855305,,,,,,,NONE
10.45,1.01911629,1,761,1,1598,63.6882172,16,1975,258.3169861,550.098999,0,151.2310028,0,2.7936001,1427.030029,2.8306999,0.0292916,11,337.4287666,,,,,,,retro_after
10.49,1.020775488,1,331,1,611,48.1359558,18,1977,1446.900024,418.3819885,9.0741796,0,22.5035992,2.7936001,1425.939941,3.11588,0.0232558,1,141.8766948,,,,,,,NONE
